"id","course_type_name","status","added_date","modified_date","display_position"
"1","Diploma Programme","A","1554878951",NULL,"3"
"2","Certificate Programme","A","1554878951",NULL,"8"
"3","Executive Certificate Course (Live Classes)","A","1554878951",NULL,"4"
"4","Bootcamp","A","1554878951",NULL,"9"
"5","Test Preparation","A","1554878951",NULL,"6"
"6","Skill Development","A","1554878951",NULL,"12"
"7","Micro Programme","A","1554878951",NULL,"10"
"8","Package","A","1554878951",NULL,"7"
"10","Workshop","A","1554878951",NULL,"11"
"11","Introductory Courses","A","1554878951",NULL,"5"
"12","International University Accredited Courses","A","1554878951",NULL,"2"
"13","Courses For Remote International Work","A","1619606734",NULL,"1"
"14","Courses for Career Growth","A","1619606734",NULL,"13"
